fid,cngmeters,x,y
"1",0,-3324321.4677244048,288043.7393115228
"1",100,-3324321.4677244048,287943.7393115228
"1",200,-3324417.4612506293,287939.7328377473
"1",300,-3324425.4741981803,287847.7457852983
"1",400,-3324513.4547768538,287835.7263639719
"1",500,-3324613.4547768538,287835.7263639719
"1",600,-3324713.4547768538,287835.7263639719
"1",700,-3324737.4936195067,287759.7652066248
"1",800,-3324809.4483030783,287731.7198901964
"1",900,-3324909.4483030783,287731.7198901964
"1",1000,-3324945.5065670577,287795.6616262170
"1",1100,-3325005.4418293028,287835.7263639719
"1",1200,-3325049.5130408332,287779.7975755022
"1",1300,-3325101.4353555273,287731.7198901964
"1",1400,-3325201.4353555273,287731.7198901964
"1",1500,-3325257.5259883841,287775.6292573395
"1",1600,-3325297.4288817518,287835.7263639719
"1",1700,-3325361.5324621596,287799.8299443797
"1",1800,-3325393.4224079764,287731.7198901964
"1",1900,-3325493.4224079764,287731.7198901964
"1",2000,-3325569.5454097106,287755.5968884621
"1",2100,-3325589.4159342009,287835.7263639719
"1",2200,-3325689.4159342009,287835.7263639719
"1",2300,-3325789.4159342009,287835.7263639719
"1",2400,-3325889.4159342009,287835.7263639719
"1",2500,-3325985.5713048126,287839.5709933602
"1",2600,-3325985.5713048126,287939.5709933602
"1",2700,-3326085.4094604254,287939.7328377473
"1",2800,-3326185.4094604254,287939.7328377473
"1",2900,-3326285.4094604254,287939.7328377473
"1",3000,-3326297.5907261390,288027.5515720337
"1",3100,-3326381.4029866499,288043.7393115228
"1",3200,-3326481.4029866499,288043.7393115228
"1",3300,-3326581.4029866499,288043.7393115228
"1",3400,-3326609.6101474655,288115.5321507072
"1",3500,-3326677.3965128744,288147.7457852984
"1",3600,-3326713.6166212410,288083.9658936650
"1",3700,-3326773.3900390989,288043.7393115228
"1",3800,-3326873.3900390989,288043.7393115228
"1",3900,-3326973.3900390989,288043.7393115228
"1",4000,-3327025.6360425674,288091.4933080542
"1",4100,-3327069.3835653234,288147.7457852984
"1",4200,-3327169.3835653234,288147.7457852984
"1",4300,-3327269.3835653234,288147.7457852984
"1",4400,-3327337.6554638939,288179.4738867277
"1",4500,-3327365.3770915479,288251.7522590739
"1",4600,-3327465.3770915479,288251.7522590739
"1",4700,-3327565.3770915479,288251.7522590739
"1",4800,-3327649.6748852204,288267.4544654013
"1",4900,-3327661.3706177725,288355.7587328493
"1",5000,-3327753.6813589958,288363.4479916258
"1",5100,-3327757.3641439965,288459.7652066249
"1",5200,-3327857.3641439965,288459.7652066249
"1",5300,-3327957.3641439965,288459.7652066249
"1",5400,-3327961.6943065468,288555.4350440748
"1",5500,-3328053.3576702215,288563.7716804004
"1",5600,-3328065.7007803223,288476.1147905014
"1",5700,-3328149.3511964455,288459.7652066249
"1",5800,-3328249.3511964455,288459.7652066249
"1",5900,-3328273.7137278738,288384.1277380529
"1",6000,-3328345.3447226700,288355.7587328493
"1",6100,-3328377.7202016492,288423.3832538703
"1",6200,-3328441.3382488945,288459.7652066249
"1",6300,-3328541.3382488945,288459.7652066249
"1",6400,-3328585.7331492002,288404.1601069304
"1",6500,-3328637.3317751191,288355.7587328493
"1",6600,-3328689.7396229757,288403.3508849928
"1",6700,-3328733.3253013436,288459.7652066249
"1",6800,-3328833.3253013436,288459.7652066249
"1",6900,-3328933.3253013436,288459.7652066249
"1",7000,-3329001.7590443022,288491.3314636663
"1",7100,-3329001.7590443022,288591.3314636663
"1",7200,-3329025.3123537926,288667.7781541759
"1",7300,-3329125.3123537926,288667.7781541759
"1",7400,-3329209.7719918531,288683.3185161153
"1",7500,-3329221.3058800171,288771.7846279514
"1",7600,-3329313.7784656286,288779.3120423398
"1",7700,-3329317.2994062416,288875.7911017268
"1",7800,-3329417.2994062416,288875.7911017268
"1",7900,-3329517.2994062416,288875.7911017268
"1",8000,-3329617.2994062416,288875.7911017268
"1",8100,-3329625.7978869551,288967.2926210134
"1",8200,-3329713.2929324661,288979.7975755023
"1",8300,-3329813.2929324661,288979.7975755023
"1",8400,-3329833.8108345061,289059.2796734624
"1",8500,-3329833.8108345061,289159.2796734624
"1",8600,-3329905.2799849152,289187.8105230534
"1",8700,-3329937.8173082815,289255.2731996869
"1",8800,-3330001.2735111397,289291.8169968289
"1",8900,-3330041.8237820570,289351.2667259114
"1",9000,-3330097.2670373642,289395.8234706043
"1",9100,-3330145.8302558325,289447.2602521359
"1",9200,-3330145.8302558325,289547.2602521359
"1",9300,-3330189.2540898132,289603.8364181554
"1",9400,-3330249.8367296080,289643.2537783605
"1",9500,-3330249.8367296080,289743.2537783605
"1",9600,-3330249.8367296080,289843.2537783605
"1",9700,-3330222.4387907293,289915.8558394818
"1",9800,-3330145.8302558325,289939.2473045850
"1",9900,-3330145.8302558325,290039.2473045850
"1",10000,-3330145.8302558325,290139.2473045850
"1",10100,-3330145.8302558325,290239.2473045850
"1",10200,-3330145.8302558325,290339.2473045850
"1",10300,-3330145.8302558325,290439.2473045850
"1",10400,-3330145.8302558325,290539.2473045850
"1",10500,-3330046.4776333822,290539.8946821349
"1",10600,-3330041.8237820570,290635.2408308095
"1",10700,-3330041.8237820570,290735.2408308095
"1",10800,-3330041.8237820570,290835.2408308095
"1",10900,-3330041.8237820570,290935.2408308095
"1",11000,-3330041.8237820570,291035.2408308095
"1",11100,-3330041.8237820570,291135.2408308095
"1",11200,-3330041.8237820570,291235.2408308095
"1",11300,-3329974.5229498111,291267.9399985633
"1",11400,-3329937.8173082815,291331.2343570340
"1",11500,-3329937.8173082815,291431.2343570340
"1",11600,-3329937.8173082815,291531.2343570340
"1",11700,-3329937.8173082815,291631.2343570340
"1",11800,-3329937.8173082815,291731.2343570340
"1",11900,-3329937.8173082815,291831.2343570340
"1",12000,-3329937.8173082815,291931.2343570340
"1",12100,-3329902.5682662395,291995.9853149919
"1",12200,-3329833.8108345061,292027.2278832585
"1",12300,-3329833.8108345061,292127.2278832585
"1",12400,-3329857.0404552217,292203.9982625428
"1",12500,-3329937.8173082815,292223.2214094830
"1",12600,-3329922.6006351169,292308.0047363183
"1",12700,-3329833.8108345061,292319.2149357075
"1",12800,-3329833.8108345061,292419.2149357075
"1",12900,-3329833.8108345061,292519.2149357075
"1",13000,-3329833.8108345061,292619.2149357075
"1",13100,-3329734.6200564434,292620.0241576449
"1",13200,-3329729.8043607306,292715.2084619320
"1",13300,-3329638.6265302189,292724.0306314203
"1",13400,-3329625.7978869551,292811.2019881566
"1",13500,-3329542.6330039944,292828.0371051958
"1",13600,-3329521.7914131796,292907.1955143811
"1",13700,-3329446.6394777698,292932.0435789713
"1",13800,-3329417.7849394041,293003.1890406056
"1",13900,-3329417.7849394041,293103.1890406056
"1",14000,-3329417.7849394041,293203.1890406056
"1",14100,-3329417.7849394041,293303.1890406056
"1",14200,-3329362.6653728718,293348.0694740734
"1",14300,-3329313.7784656286,293399.1825668301
"1",14400,-3329313.7784656286,293499.1825668301
"1",14500,-3329313.7784656286,293599.1825668301
"1",14600,-3329274.6847941983,293660.0888953998
"1",14700,-3329174.6847941983,293660.0888953998
"1",14800,-3329105.7655180776,293691.1696192791
"1",14900,-3329105.7655180776,293791.1696192791
"1",15000,-3329105.7655180776,293891.1696192791
"1",15100,-3329124.8268206306,293972.1083167264
"1",15200,-3329224.8268206306,293972.1083167264
"1",15300,-3329313.7784656286,293961.0599617246
"1",15400,-3329320.8203468551,293868.1018429508
"1",15500,-3329417.7849394041,293865.0664355001
"1",15600,-3329417.7849394041,293765.0664355001
"1",15700,-3329516.8138730796,293764.0953691753
"1",15800,-3329521.7914131796,293669.0729092756
"1",15900,-3329612.8073993037,293660.0888953998
"1",16000,-3329625.7978869551,293747.0984077486
"1",16100,-3329708.8009255286,293764.0953691753
"1",16200,-3329808.8009255286,293764.0953691753
"1",16300,-3329833.8108345061,293839.0854601977
"1",16400,-3329904.7944517527,293868.1018429508
"1",16500,-3329937.8173082815,293935.0789864222
"1",16600,-3329937.8173082815,294035.0789864222
"1",16700,-3329937.8173082815,294135.0789864222
"1",16800,-3329992.7750304262,294180.1212642773
"1",16900,-3330041.8237820570,294231.0725126467
"1",17000,-3330041.8237820570,294331.0725126467
"1",17100,-3330084.7620828752,294388.1342118284
"1",17200,-3330145.8302558325,294427.0660388712
"1",17300,-3330145.8302558325,294527.0660388712
"1",17400,-3330145.8302558325,294627.0660388712
"1",17500,-3330172.7426615488,294700.1536331548
"1",17600,-3330272.7426615488,294700.1536331548
"1",17700,-3330353.8432033835,294719.0530913202
"1",17800,-3330353.8432033835,294819.0530913202
"1",17900,-3330342.9566927692,294908.1665807058
"1",18000,-3330249.8367296080,294915.0466175447
"1",18100,-3330249.8367296080,295015.0466175447
"1",18200,-3330249.8367296080,295115.0466175447
"1",18300,-3330249.8367296080,295215.0466175447
"1",18400,-3330154.9761140957,295220.1860020323
"1",18500,-3330054.9761140957,295220.1860020323
"1",18600,-3330041.8237820570,295307.0336699938
"1",18700,-3330041.8237820570,295407.0336699938
"1",18800,-3329962.9890616466,295428.1989495834
"1",18900,-3329937.8173082815,295503.0271962183
"1",19000,-3329866.9955354221,295532.2054233589
"1",19100,-3329766.9955354221,295532.2054233589
"1",19200,-3329729.8043607306,295595.0142486673
"1",19300,-3329671.0020091976,295636.2118971343
"1",19400,-3329571.0020091976,295636.2118971343
"1",19500,-3329521.7914131796,295687.0013011163
"1",19600,-3329475.0084829731,295740.2183709098
"1",19700,-3329417.7849394041,295782.9948273408
"1",19800,-3329379.0149567486,295844.2248446853
"1",19900,-3329313.7784656286,295878.9883535654
"1",20000,-3329313.7784656286,295978.9883535654
"1",20100,-3329287.0279042996,296052.2377922363
"1",20200,-3329209.7719918531,296074.9818797899
"1",20300,-3329191.0343780750,296156.2442660118
"1",20400,-3329105.7655180776,296170.9754060144
"1",20500,-3329095.0408518505,296260.2507397873
"1",20600,-3328995.0408518505,296260.2507397873
"1",20700,-3328897.7525705267,296262.9624584634
"1",20800,-3328897.7525705267,296362.9624584634
"1",20900,-3328799.0473256260,296364.2572135629
"1",21000,-3328793.7460967512,296269.5584424378
"1",21100,-3328703.0537994015,296260.2507397873
"1",21200,-3328603.0537994015,296260.2507397873
"1",21300,-3328585.7331492002,296342.9300895859
"1",21400,-3328507.0602731770,296364.2572135629
"1",21500,-3328481.7266754247,296289.5908113154
"1",21600,-3328411.0667469529,296260.2507397873
"1",21700,-3328311.0667469529,296260.2507397873
"1",21800,-3328273.7137278738,296322.8977207083
"1",21900,-3328215.0732207284,296364.2572135629
"1",22000,-3328115.0732207284,296364.2572135629
"1",22100,-3328015.0732207284,296364.2572135629
"1",22200,-3327961.6943065468,296410.8782993814
"1",22300,-3328004.3089185897,296468.2636873384
"1",22400,-3328065.7007803223,296506.8718256059
"1",22500,-3328065.7007803223,296606.8718256059
"1",22600,-3328065.7007803223,296706.8718256059
"1",22700,-3328092.2894972633,296780.2831086648
"1",22800,-3328169.7072540983,296802.8653518299
"1",22900,-3328169.7072540983,296902.8653518299
"1",23000,-3328184.2765497123,296988.2960562159
"1",23100,-3328273.7137278738,296998.8588780544
"1",23200,-3328267.1573798107,297092.3025299913
"1",23300,-3328169.7072540983,297094.8524042790
"1",23400,-3328169.7072540983,297194.8524042790
"1",23500,-3328169.7072540983,297294.8524042790
"1",23600,-3328169.7072540983,297394.8524042790
"1",23700,-3328079.1768011372,297404.3219513179
"1",23800,-3328065.7007803223,297490.8459305030
"1",23900,-3328148.2182857320,297508.3284250933
"1",24000,-3328169.7072540983,297586.8394567271
"1",24100,-3328169.7072540983,297686.8394567271
"1",24200,-3328099.2091700155,297716.3413726443
"1",24300,-3328065.7007803223,297782.8329829511
"1",24400,-3328065.7007803223,297882.8329829511
"1",24500,-3328065.7007803223,297982.8329829511
"1",24600,-3328120.1729693026,298028.3607939708
"1",24700,-3328169.7072540983,298078.8265091751
"1",24800,-3328123.2480126694,298132.3672677463
"1",24900,-3328065.7007803223,298174.8200353992
"1",25000,-3328065.7007803223,298274.8200353992
"1",25100,-3328100.1406004243,298340.3802152974
"1",25200,-3328169.7072540983,298370.8135616232
"1",25300,-3328143.2803815478,298444.3866890728
"1",25400,-3328065.7007803223,298466.8070878473
"1",25500,-3328065.7007803223,298566.8070878473
"1",25600,-3328065.7007803223,298666.8070878473
"1",25700,-3328065.7007803223,298766.8070878473
"1",25800,-3328065.7007803223,298866.8070878473
"1",25900,-3328065.7007803223,298966.8070878473
"1",26000,-3328065.7007803223,299066.8070878473
"1",26100,-3328164.0823364439,299068.4255317258
"1",26200,-3328169.7072540983,299162.8006140713
"1",26300,-3328079.3386455281,299172.4320055013
"1",26400,-3328065.7007803223,299258.7941402954
"1",26500,-3328065.7007803223,299358.7941402954
"1",26600,-3328065.7007803223,299458.7941402954
"1",26700,-3328065.7007803223,299558.7941402954
"1",26800,-3328065.7007803223,299658.7941402954
"1",26900,-3328065.7007803223,299758.7941402954
"1",27000,-3328065.7007803223,299858.7941402954
"1",27100,-3328007.3839619569,299900.4773219298
"1",27200,-3327961.6943065468,299954.7876665199
"1",27300,-3328011.9981773612,300004.4837957053
"1",27400,-3328065.7007803223,300050.7811927444
